	Kategorier	Tags	Ledige jobs
0	Læge	Re­ser­ve­læ­ge, overlæge	249
1	Sy­geple­jer­skeogjor­de­mo­der	Sy­geple­jer­ske, am­bu­lan­ce­red­der, jor­de­mo­der	694
2	Offentligad­mi­ni­stra­tion	Virk­som­heds­kon­su­lent, job­kon­su­lent	172
3	Terapioggenop­træ­ning	Fy­si­o­te­ra­pe­ut, er­go­te­ra­pe­ut, au­di­o­log­o­pæd	189
4	Plejeogomsorg	Sosu-assistent, SSH, han­di­cap­hjæl­per	1195
5	Tandlægeogkli­nik­per­so­na­le	Tandlæge, kli­ni­kas­si­stent, tand­ple­jer	96
6	Læ­ge­se­kre­tær	Læ­ge­se­kre­tær	89
7	So­ci­al­rå­d­giv­ning	So­ci­al­rå­d­gi­ver, fa­mi­li­e­rå­d­gi­ver, behandler	230
8	Psykologiogpsykiatri	Psykolog, psy­ko­te­ra­pe­ut	100
9	Teknisksund­heds­ar­bej­de	Radiograf, audiolog, portør	31
